id,description,service_item_id
010100001,"Análise e desenvolvimento de sistemas", 101
010200001,"Programação", 102
010300001,"Processamento de dados", 103
010500001,"Licenciamento ou cessão de direito de uso de programas de computação",105
010600001,"Assessoria e consultoria em informática",106
010700001,"Suporte Técnico em Informática, inclusive instalação, configuração e manutenção de programas de computação e banco de dados",107
071900001,"Acompanhamento e fiscalização da execução de obras de engenharia, arquitetura e urbanismo (não vinculado a liberação de crédito próprio)",719
080200001,"Instrução, treinamento, avaliação de conhecimentos de quaisquer natureza",802
100100001,"Agenciamento de câmbio",1001
100100002,"Corretagem de câmbio",1001
100100003,"Intermediação de câmbio",1001
100100004,"Agenciamento de seguros",1001
100100005,"Corretagem de seguros",1001
100100006,"Intermediação de seguros",1001
100100007,"Agenciamento de cartões de crédito",1001
100100008,"Corretagem de cartões de crédito",1001
100100009,"Intermediação de cartões de crédito",1001
100100010,"Agenciamento de planos de previdência privada",1001
100100011,"Corretagem de planos de previdência privada",1001
100100012,"Intermediação de planos de previdência privada",1001
100200001,"Agenciamento de títulos em geral",1002
100200002,"Corretagem de títulos em geral",1002
100200003,"Intermediação de títulos em geral",1002
100200004,"Agenciamento de valores mobiliários",1002
100200005,"Corretagem de valores mobiliários",1002
100200006,"Intermediação de valores mobiliários",1002
100200007,"Agenciamento de contratos quaisquer",1002
100200008,"Corretagem de contratos quaisquer",1002
100200009,"Intermediação de contratos quaisquer",1002
100400001,"Agenciamento de contratos de arrendamento mercantil (leasing)",1004
100400002,"Corretagem de contratos de arrendamento mercantil (leasing)",1004
100400003,"Intermediação de contratos de arrendamento mercantil (leasing)",1004
100400004,"Agenciamento de contratos de “faturização” (factoring)",1004
100400005,"Corretagem de contratos de “faturização” (factoring)",1004
100400006,"Intermediação de contratos de “faturização” (factoring)",1004
100500001,"Agenciamento de bens móveis não abrangidos em outros itens / subitens.",1005
100500002,"Corretagem de bens móveis não abrangidos em outros itens / subitens.",1005
100500003,"Intermediação de bens móveis não abrangidos em outros itens / subitens.",1005
100500004,"Agenciamento de bens imóveis não abrangidos em outros itens / subitens.",1005
100500005,"Corretagem de bens imóveis não abrangidos em outros itens / subitens.",1005
100500006,"Intermediação de bens imóveis não abrangidos em outros itens / subitens.",1005
100500007,"Agenciamento no âmbito de Bolsas de Mercadorias e Futuros.",1005
100500008,"Corretagem no âmbito de Bolsas de Mercadorias e Futuros.",1005
100500009,"Intermediação no âmbito de Bolsas de Mercadorias e Futuros.",1005
100900001,"Representação de qualquer natureza, inclusive comercial",1009
110100001,"Guarda e estacionamento de veículos terrestres automotores, de aeronaves e de embarcações",1101
130300001,"Fotografia e cinematografia, inclusive revelação, ampliação, cópia, reprodução, trucagem",1303
130400001,"Serviços de reprografia",1304
130400002,"Serviços de microfilmagem",1304
130400003,"Serviços de digitalização",1304
150100001,"Administração de fundos quaisquer",1501
150100002,"Administração de consórcio",1501
150100003,"Administração de cartão de crédito ou débito e congêneres",1501
150100004,"Administração de carteira de clientes",1501
150100005,"Administração de cheques pré-datados e congêneres",1501
150200001,"Abertura de conta-corrente no país",1502
150200002,"Abertura de contas de investimentos e aplicação no país",1502
150200003,"Abertura de conta de poupança no país",1502
150200004,"Abertura de contas em geral no país não abrangidas em outros itens/subitens.",1502
150200005,"Abertura de conta-corrente no exterior",1502
150200006,"Abertura de contas de investimentos e aplicação no exterior",1502
150200007,"Abertura de conta de poupança no exterior",1502
150200008,"Abertura de contas em geral no exterior não abrangidas em outros itens / subitens.",1502
150200009,"Manutenção de conta-corrente no país",1502
150200010,"Manutenção de contas de investimentos e aplicação no país",1502
150200011,"Manutenção de conta de poupança no país",1502
150200012,"Manutenção de contas em geral no país não abrangidas em outros itens / subitens.",1502
150200013,"Manutenção de conta-corrente no exterior",1502
150200014,"Manutenção de contas de investimentos e aplicação no exterior",1502
150200015,"Manutenção de conta de poupança no exterior",1502
150200016,"Manutenção de contas em geral no exterior não abrangidas em outros itens / subitens.",1502
150300001,"Locação de cofres particulares",1503
150300002,"Manutenção de cofres particulares",1503
150300003,"Locação de terminais eletrônicos",1503
150300004,"Manutenção de terminais eletrônicos",1503
150300005,"Locação de terminais de atendimento",1503
150300006,"Manutenção de terminais de atendimento",1503
150300007,"Locação de bens e equipamentos em geral",1503
150300008,"Manutenção de bens e equipamentos em geral",1503
